Unit Type Key;          Name;               Symbol;     Key;                           Description;                             Conversion Type; Conversion Args
capacitance;            Nanofarad;          nF;         nanofarad;                     Nanofarad;                               LINEAR;          [0.000000001]
capacitance;            Microfarad;         µF;         microfarad;                    Microfarad;                              LINEAR;          [0.000001]
capacitance;            Millifarad;         mF;         millifarad;                    Millifarad;                              LINEAR;          [0.001]
capacitance;            Farad;              F;          farad;                         Farad;                                   NOOP;            []
capacity-density;       Ah/m³;              Ah/m³;      amp-hour-per-cubic-m;          Ampere-Hours per Cubic Meters;           NOOP;            []
capacity-density;       Ah/L;               Ah/L;       amp-hour-per-liter;            Ampere-Hours per Liter;                  LINEAR;          [1000.0]
capacity-density;       mAh/L;              mAh/L;      milliamp-hour-per-liter;       Milliampere-Hours per Liter;             NOOP;            []
capacity-density;       kAh/m³;             kAh/m³;     kiloamp-hour-per-cubic-m;      Kiloampere-Hours per Cubic Meters;       LINEAR;          [1000.0]
capacity-density;       kAh/L;              kAh/L;      kiloamp-hour-per-liter;        Kiloampere-Hours per Liter;              LINEAR;          [1000000.0]
energy-density;         mWh/m³;             mWh/m³;     milliwatt-hour-per-cubic-m;    Milliwatt-Hours per Cubic Meters;       LINEAR;          [.001]
energy-density;         Wh/m³;              Wh/m³;      watt-hour-per-cubic-m;         Watt-Hours per Cubic Meters;             NOOP;            []
energy-density;         Wh/L;               Wh/L;       watt-hour-per-liter;           Watt-Hour per Liter;                     LINEAR;          [1000.0]
energy-density;         kWh/m³;             kWh/m³;     kilowatt-hour-per-cubic-m;     Kilowatt-Hours per Cubic Meters;         LINEAR;          [1000.0]
energy-density;         J/m³;               J/m³;       joule-per-cubic-m;             Joule per Cubic Meters;                  LINEAR;          [0.0002777777777777778]
energy-density;         kJ/m³;              kJ/m³;      kilojoule-per-cubic-m;         Kilojoule per Cubic Meters;              LINEAR;          [0.2777777777777778]
energy-density;         J/L;                J/L;        joule-per-liter;               Joule per Liter;                         LINEAR;          [0.2777777777777778]
energy-density;         kJ/L;               kJ/L;       kilojoule-per-liter;           Kilojoule per Liter;                     LINEAR;          [277.7777777777778]
energy-density;         MJ/L;               MJ/L;       megajoule-per-liter;           Megajoule per Liter;                     LINEAR;          [277777.7777777778]
